amp1,x01,w1,y0
7.57,492.41,16.25,-0.11
11.4,496.05,17.52,-0.07
13.8,497.96,17.35,0.09
10.59,498.88,17.39,-0.18
5.3,492.9,16.84,-0.07
8.23,493.02,12.82,-0.17
14.98,495.17,13.61,0.1
19.15,496.68,14.32,0.07
22.31,493.94,12.37,-0.02
11.16,492.31,12.16,0.15
4.97,494.2,16.31,-0.03
8.45,496.46,19.02,0.07
16.19,494.95,14.84,-0.17
22.51,494.58,13.57,0.14
28.58,493.73,12.5,0.02
25.04,493.83,13.09,0.03
17.74,496.17,14.82,0.07
22.43,497.4,15.03,0.03
24.02,496.37,14.73,-0.07
17.25,494.58,14.75,0.01
14.36,493.61,13.85,-0.01
12.05,493.52,14.21,-0.08
7.76,494.2,15.8,0.1
5.66,490.34,15.95,-0.02
6.46,495.05,17.16,-0.09
7.45,497.17,17.94,0.01
9.48,496.11,16.1,-0.31
13.52,494.57,15.32,0.02
20.2,498.66,17.2,-0.24
27.21,497.3,14.45,0.09
39.82,496.72,12.93,0.11
30.22,496.22,13.73,0.02
20.83,496.69,14.82,0.1
21.2,496.35,14.59,0.18
17.75,496.68,15.1,-0.03
16.34,496.37,15.02,0.05
13.34,496.26,14.97,0.19
10.79,494.86,15.06,0.03
9.54,494.28,15.02,0.16
11.16,495.55,16.34,-0.02
15.27,498.03,15.79,-0.1
16.51,497.75,14.03,0.07
12.37,497.3,13.84,-0.01
7.15,497.16,16.11,0.15
6.99,494.49,15.8,-0.02
8.21,493.21,16.38,-0.05
11.47,494.51,16.93,0.17
11.61,493.28,15.96,0.03
8.62,494.6,17.33,-0.07
6.39,497.45,19.23,-0.09
2.99,498.73,20.83,0.01
1.87,483.68,18.21,-0.11
3.35,491.01,15.07,0.01
7.84,493.46,13.56,-0.08
12.17,497.26,14.8,-0.04
14.01,500.1,16.44,0.09
9.03,498.68,16.85,-0.1
5.65,496.58,17.75,-0.23
4.96,493.08,14.68,-0.21
4.26,491.22,16.09,0.0
7.41,492.11,13.54,-0.1
10.45,493.26,14.41,-0.07
12.15,494.46,14.6,0.03
10.71,497.4,17.24,0.03
13.28,497.59,17.84,-0.05
18.9,498.96,17.02,0.08
19.29,498.67,14.88,0.02
14.3,497.39,15.31,0.21
10.53,497.94,16.84,-0.09
7.75,499.97,20.33,-0.06
7.92,500.4,20.41,-0.27
7.18,501.29,23.66,-0.14
6.48,502.52,24.53,-0.29
4.92,500.73,21.03,0.14
3.78,495.21,19.99,0.04
4.09,493.21,16.4,-0.09
5.3,496.78,17.02,0.05
